rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
17,EFX,Equifax,Industrials,Research & Consulting Services,20078424064,0.4795238095238095,0.06663727181593027,0.143,0.17448,0.11123,0.1437,2.656799305831084,-0.15093759297215537,-0.36528751842111906,-0.36703113102251994,0.3243725472642911,29.302818,16.210184,buy,-0.07857358972634976,2.337864911276474,
18,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,45216370688,0.4732142857142858,0.04309374480622341,0.074,0.13271,0.119619995,0.49231997,1.8986387259627457,-0.003619477615472322,-0.375110794267851,-0.3698605494214364,0.21985815602836878,32.339447,26.027632,buy,-0.08474272849924243,1.5208142502751405,
19,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,24290138112,0.4683333333333334,0.04012388236622155,0.039,0.45004,0.2934,,2.718652751804846,-0.08087201000901023,-0.3878857932715052,-0.38405665512012344,0.18922596000779923,28.260672,21.380219,buy,-0.09701147060336403,1.518018018018018,
20,BRO,Brown & Brown,Financials,Insurance Brokers,22933211136,0.45642857142857146,0.1888178603697077,0.357,0.47180998,0.18360001,0.11926,2.8624294841548776,-0.06664781224800265,-0.36780213033011144,-0.368679098742709,0.09739869910147703,22.03909,13.957769,hold,-0.015109771846749892,1.3057491289198606,
21,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,71501537280,0.41000000000000003,0.053825751165646585,0.102,0.18454,0.14303,,2.0754814944743236,-0.0856658520492003,-0.19977741584580389,-0.0680492863162222,0.27781642976164234,28.104235,23.850397,buy,-0.02704727022105049,1.1673951238620457,
22,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,35225780224,0.3992857142857143,0.04624035124474468,0.106,0.21343,0.09125,0.23234,2.125024147620149,-0.09077343588651865,-0.2593740962605654,0.10441830125232943,0.23284144584360122,32.33892,17.537321,buy,-0.09028209766336198,2.1472991634686305,
23,SPGI,S&P Global,Financials,Financial Exchanges & Data,127428001792,0.38416666666666666,0.06254770572439305,0.104,0.44282,0.30361998,0.13939999,1.5356281410237775,-0.010463086094470442,-0.18664332064554578,-0.1321558752835318,0.191307781649245,27.246836,21.190664,strong_buy,-0.015876567148101192,1.2005442746493615,
24,CTAS,Cintas,Industrials,Diversified Support Services,71880589312,0.3730952380952381,0.06644267058768127,0.089,0.23224,0.17568001,0.41303003,0.9420921362602032,-0.023598638622685852,-0.19854699593837177,-0.16292103474561637,0.16169840074061703,37.898735,33.057182,buy,-0.026776710963450127,1.1371490810355998,
25,VLTO,Veralto,Industrials,Environmental & Facilities Services,22767050752,0.30773809523809526,0.044092382753367465,0.068,0.23768999,0.17325,0.36463,1.0457183860667634,-0.017843451187739556,-0.15085062230949364,-0.08963438669507517,0.16568310202138625,23.89175,19.848192,buy,-0.018604000559518812,1.1372549019607843,
26,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,906425204736,0.26630952380952383,0.0432186000430379,0.073,0.042150002,0.03135,0.24132,1.4455596610764976,-0.02573825844051625,-0.15126673535016932,0.18636821365259082,0.21672842970517792,40.105637,34.66463,buy,-0.06578511139010723,1.798557353976073,
27,PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,187661090816,0.2469047619047619,0.04255780099690476,0.064,0.16968,0.10785,0.51508,2.2618553797362115,-0.06917453146624009,-0.17845225377915652,0.06201083769746529,0.13851422653114343,18.028872,15.276089,hold,-0.027627865069368467,1.2875322935604248,
28,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,140881739776,0.2423809523809524,0.02214477482811561,0.037,0.22937,0.14887999,0.0708,1.7621927459634108,-0.020626845108516867,-0.1741866350444239,-0.0021971648962120227,0.21708543725571472,38.575584,21.534214,strong_buy,-0.033812861182835365,1.7454594741122256,
29,IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,30856908800,0.23202380952380952,0.04380239436624622,0.076,0.17069,0.075440004,0.057150003,1.810070165122411,-0.030988117854045094,-0.20120160297203238,-0.10000937868763338,0.1862835993674714,53.277027,20.466856,buy,-0.03890965527794172,2.212947189097104,
30,MLM,Martin Marietta Materials,Materials,Construction Materials,34689716224,0.21607142857142858,0.07266020871142498,0.172,0.12702,0.39905998,0.0947,2.566350710900474,-0.06072072714603205,-0.18196863754661907,0.024321311773452425,0.18072849233479027,36.220688,25.2159,buy,0.03872216844143272,0.7079715864246251,
